,Year,Month,MobileWeb_or_Web,Type_of_Customers?,Where_Are_They_comming_from?,Which_Place_in_India?,How_many_Landed_on_our_Page?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button_and_started_filling_the_Form?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button_and_started_filling_the_Form_and_Completed_and_submited_the_form?
0,2019,1,0,0,Came_From_Google,Bangalore,0.0,0.0,56892,17178
1,2019,1,0,0,Came_From_Google,Chennai,0.0,0.0,41460,11916
2,2019,1,0,0,Came_From_Google,Dehradun,0.0,0.0,55561,19461
3,2019,1,0,0,Came_From_Google,Indore,0.0,0.0,320923,110667
4,2019,1,0,0,Came_From_Google,Pune,0.0,0.0,220937,46033
5,2019,1,0,0,Landed_on_the_page_Directly,Bangalore,0.0,0.0,90241,24229
6,2019,1,0,0,Landed_on_the_page_Directly,Chennai,0.0,0.0,77630,18502
7,2019,1,0,0,Landed_on_the_page_Directly,Dehradun,0.0,0.0,91479,24363
8,2019,1,0,0,Landed_on_the_page_Directly,Indore,0.0,0.0,436641,165036
9,2019,1,0,0,Landed_on_the_page_Directly,Pune,0.0,0.0,531346,101317
10,2019,1,0,0,Unidentified_Sources,Bangalore,0.0,0.0,32119,6900
11,2019,1,0,0,Unidentified_Sources,Chennai,0.0,0.0,27891,5606
12,2019,1,0,0,Unidentified_Sources,Dehradun,0.0,0.0,34391,8459
13,2019,1,0,0,Unidentified_Sources,Indore,0.0,0.0,142422,39296
14,2019,1,0,0,Unidentified_Sources,Pune,0.0,0.0,120090,20223
15,2019,1,0,1,Came_From_Google,Bangalore,112869.0,91801.0,48979,33382
16,2019,1,0,1,Came_From_Google,Chennai,110397.0,87429.0,48899,29031
17,2019,1,0,1,Came_From_Google,Dehradun,156487.0,123324.0,59084,39804
18,2019,1,0,1,Came_From_Google,Indore,1176804.0,960145.0,604293,373155
19,2019,1,0,1,Came_From_Google,Pune,383260.0,305902.0,172827,122285
20,2019,1,0,1,Landed_on_the_page_Directly,Bangalore,268286.0,149476.0,58622,44999
21,2019,1,0,1,Landed_on_the_page_Directly,Chennai,292128.0,131890.0,50720,32140
22,2019,1,0,1,Landed_on_the_page_Directly,Dehradun,401292.0,171322.0,51069,36016
23,2019,1,0,1,Landed_on_the_page_Directly,Indore,1670668.0,969732.0,477858,339970
24,2019,1,0,1,Landed_on_the_page_Directly,Pune,1748075.0,854377.0,314289,225823
25,2019,1,0,1,Unidentified_Sources,Bangalore,58172.0,44096.0,18169,8769
26,2019,1,0,1,Unidentified_Sources,Chennai,80384.0,58097.0,22564,8832
27,2019,1,0,1,Unidentified_Sources,Dehradun,101453.0,79201.0,17203,10064
28,2019,1,0,1,Unidentified_Sources,Indore,494447.0,374638.0,170498,88331
29,2019,1,0,1,Unidentified_Sources,Pune,235955.0,162890.0,54175,30731
30,2019,1,1,0,Came_From_Google,Bangalore,0.0,0.0,57469,13257
31,2019,1,1,0,Came_From_Google,Chennai,0.0,0.0,22092,5405
32,2019,1,1,0,Came_From_Google,Dehradun,0.0,0.0,40947,13345
33,2019,1,1,0,Came_From_Google,Indore,0.0,0.0,201776,59088
34,2019,1,1,0,Came_From_Google,Pune,0.0,0.0,193520,40931
35,2019,1,1,0,Landed_on_the_page_Directly,Bangalore,0.0,0.0,129706,22628
36,2019,1,1,0,Landed_on_the_page_Directly,Chennai,0.0,0.0,60729,10055
37,2019,1,1,0,Landed_on_the_page_Directly,Dehradun,0.0,0.0,98579,14367
38,2019,1,1,0,Landed_on_the_page_Directly,Indore,0.0,0.0,367836,92895
39,2019,1,1,0,Landed_on_the_page_Directly,Pune,0.0,0.0,590327,83552
40,2019,1,1,0,Unidentified_Sources,Bangalore,0.0,0.0,15108,3919
41,2019,1,1,0,Unidentified_Sources,Chennai,0.0,0.0,10151,2272
42,2019,1,1,0,Unidentified_Sources,Dehradun,0.0,0.0,13502,4463
43,2019,1,1,0,Unidentified_Sources,Indore,0.0,0.0,64611,17261
44,2019,1,1,0,Unidentified_Sources,Pune,0.0,0.0,50790,10397
45,2019,1,1,1,Came_From_Google,Bangalore,136378.0,100335.0,49556,33445
46,2019,1,1,1,Came_From_Google,Chennai,100254.0,70144.0,35893,21402
47,2019,1,1,1,Came_From_Google,Dehradun,190340.0,127779.0,61203,40949
48,2019,1,1,1,Came_From_Google,Indore,1276745.0,922618.0,538087,317619
49,2019,1,1,1,Came_From_Google,Pune,480675.0,347596.0,186713,135275
50,2019,1,1,1,Landed_on_the_page_Directly,Bangalore,416106.0,195181.0,64840,30993
51,2019,1,1,1,Landed_on_the_page_Directly,Chennai,286353.0,133032.0,51340,25203
52,2019,1,1,1,Landed_on_the_page_Directly,Dehradun,427530.0,187061.0,48184,19984
53,2019,1,1,1,Landed_on_the_page_Directly,Indore,2160270.0,1209633.0,529460,249974
54,2019,1,1,1,Landed_on_the_page_Directly,Pune,1646707.0,807106.0,348833,182292
55,2019,1,1,1,Unidentified_Sources,Bangalore,52157.0,35193.0,10240,4390
56,2019,1,1,1,Unidentified_Sources,Chennai,50889.0,34069.0,10913,5024
57,2019,1,1,1,Unidentified_Sources,Dehradun,58247.0,41982.0,10229,6334
58,2019,1,1,1,Unidentified_Sources,Indore,507337.0,365834.0,176165,57549
59,2019,1,1,1,Unidentified_Sources,Pune,221607.0,127471.0,39922,22624
60,2019,2,0,0,Came_From_Google,Bangalore,0.0,0.0,47265,14196
61,2019,2,0,0,Came_From_Google,Chennai,0.0,0.0,33702,9671
62,2019,2,0,0,Came_From_Google,Dehradun,0.0,0.0,43417,15551
63,2019,2,0,0,Came_From_Google,Indore,0.0,0.0,245423,80299
64,2019,2,0,0,Came_From_Google,Pune,0.0,0.0,228051,36538
65,2019,2,0,0,Landed_on_the_page_Directly,Bangalore,0.0,0.0,78378,20261
66,2019,2,0,0,Landed_on_the_page_Directly,Chennai,0.0,0.0,64729,15062
67,2019,2,0,0,Landed_on_the_page_Directly,Dehradun,0.0,0.0,75333,19025
68,2019,2,0,0,Landed_on_the_page_Directly,Indore,0.0,0.0,363559,124359
69,2019,2,0,0,Landed_on_the_page_Directly,Pune,0.0,0.0,441298,82153
70,2019,2,0,0,Unidentified_Sources,Bangalore,0.0,0.0,26704,5672
71,2019,2,0,0,Unidentified_Sources,Chennai,0.0,0.0,22736,4181
72,2019,2,0,0,Unidentified_Sources,Dehradun,0.0,0.0,26907,6179
73,2019,2,0,0,Unidentified_Sources,Indore,0.0,0.0,115601,31589
74,2019,2,0,0,Unidentified_Sources,Pune,0.0,0.0,103558,16829
75,2019,2,0,1,Came_From_Google,Bangalore,98574.0,80672.0,39272,26296
76,2019,2,0,1,Came_From_Google,Chennai,95163.0,74427.0,39687,23332
77,2019,2,0,1,Came_From_Google,Dehradun,131647.0,103960.0,46826,31260
78,2019,2,0,1,Came_From_Google,Indore,942288.0,760422.0,462969,278204
79,2019,2,0,1,Came_From_Google,Pune,321335.0,254082.0,134654,92966
80,2019,2,0,1,Landed_on_the_page_Directly,Bangalore,364294.0,171068.0,36362,22686
81,2019,2,0,1,Landed_on_the_page_Directly,Chennai,320485.0,143024.0,34577,18720
82,2019,2,0,1,Landed_on_the_page_Directly,Dehradun,475516.0,178363.0,39894,26130
83,2019,2,0,1,Landed_on_the_page_Directly,Indore,1737247.0,930777.0,344024,223838
84,2019,2,0,1,Landed_on_the_page_Directly,Pune,1711902.0,844669.0,231719,163043
85,2019,2,0,1,Unidentified_Sources,Bangalore,53580.0,36250.0,12210,4973
86,2019,2,0,1,Unidentified_Sources,Chennai,65572.0,46544.0,15806,6415
87,2019,2,0,1,Unidentified_Sources,Dehradun,86951.0,65812.0,13467,7839
88,2019,2,0,1,Unidentified_Sources,Indore,419241.0,311429.0,137558,73850
89,2019,2,0,1,Unidentified_Sources,Pune,193398.0,133574.0,43168,24065
90,2019,2,1,0,Came_From_Google,Bangalore,0.0,0.0,50083,11314
91,2019,2,1,0,Came_From_Google,Chennai,0.0,0.0,18166,4586
92,2019,2,1,0,Came_From_Google,Dehradun,0.0,0.0,34897,11595
93,2019,2,1,0,Came_From_Google,Indore,0.0,0.0,154227,42917
94,2019,2,1,0,Came_From_Google,Pune,0.0,0.0,213067,35556
95,2019,2,1,0,Landed_on_the_page_Directly,Bangalore,0.0,0.0,114762,19287
96,2019,2,1,0,Landed_on_the_page_Directly,Chennai,0.0,0.0,51425,8256
97,2019,2,1,0,Landed_on_the_page_Directly,Dehradun,0.0,0.0,88292,12309
98,2019,2,1,0,Landed_on_the_page_Directly,Indore,0.0,0.0,303978,71847
99,2019,2,1,0,Landed_on_the_page_Directly,Pune,0.0,0.0,525836,72032
100,2019,2,1,0,Unidentified_Sources,Bangalore,0.0,0.0,13538,3143
101,2019,2,1,0,Unidentified_Sources,Chennai,0.0,0.0,7964,1697
102,2019,2,1,0,Unidentified_Sources,Dehradun,0.0,0.0,11562,3704
103,2019,2,1,0,Unidentified_Sources,Indore,0.0,0.0,51199,13951
104,2019,2,1,0,Unidentified_Sources,Pune,0.0,0.0,46726,9097
105,2019,2,1,1,Came_From_Google,Bangalore,121411.0,89241.0,40397,26420
106,2019,2,1,1,Came_From_Google,Chennai,89326.0,59692.0,29073,17440
107,2019,2,1,1,Came_From_Google,Dehradun,163799.0,109105.0,50685,33708
108,2019,2,1,1,Came_From_Google,Indore,1052420.0,733233.0,404716,232852
109,2019,2,1,1,Came_From_Google,Pune,426286.0,304066.0,156062,108686
110,2019,2,1,1,Landed_on_the_page_Directly,Bangalore,570318.0,245665.0,56844,25016
111,2019,2,1,1,Landed_on_the_page_Directly,Chennai,292515.0,128356.0,40287,19591
112,2019,2,1,1,Landed_on_the_page_Directly,Dehradun,466905.0,193933.0,41464,16147
113,2019,2,1,1,Landed_on_the_page_Directly,Indore,2505768.0,1215226.0,397087,182202
114,2019,2,1,1,Landed_on_the_page_Directly,Pune,1376097.0,719141.0,304051,149451
115,2019,2,1,1,Unidentified_Sources,Bangalore,63129.0,37419.0,9099,3503
116,2019,2,1,1,Unidentified_Sources,Chennai,43619.0,28122.0,8379,4058
117,2019,2,1,1,Unidentified_Sources,Dehradun,54813.0,37594.0,8090,4713
118,2019,2,1,1,Unidentified_Sources,Indore,560505.0,341113.0,134883,48039
119,2019,2,1,1,Unidentified_Sources,Pune,187990.0,111024.0,34132,19047
120,2019,3,0,0,Came_From_Google,Bangalore,0.0,0.0,53760,16925
121,2019,3,0,0,Came_From_Google,Chennai,0.0,0.0,37319,10576
122,2019,3,0,0,Came_From_Google,Dehradun,0.0,0.0,48180,17223
123,2019,3,0,0,Came_From_Google,Indore,0.0,0.0,278549,91900
124,2019,3,0,0,Came_From_Google,Pune,0.0,0.0,250764,36252
125,2019,3,0,0,Landed_on_the_page_Directly,Bangalore,0.0,0.0,96156,27068
126,2019,3,0,0,Landed_on_the_page_Directly,Chennai,0.0,0.0,70422,17276
127,2019,3,0,0,Landed_on_the_page_Directly,Dehradun,0.0,0.0,86553,22636
128,2019,3,0,0,Landed_on_the_page_Directly,Indore,0.0,0.0,424675,157269
129,2019,3,0,0,Landed_on_the_page_Directly,Pune,0.0,0.0,499351,88390
130,2019,3,0,0,Unidentified_Sources,Bangalore,0.0,0.0,31838,6289
